customer_id,age,age_band,gender,location,category,item_purchased,size,color,season,purchase_amount,review_rating,review_rating_imputed,subscription_status,is_subscriber,shipping_type,discount_applied,received_discount,payment_method,previous_purchases,loyalty_tier,frequency_of_purchases,purchase_frequency_days,purchases_per_year,est_annual_value,segment_id,segment
1,55,55-64,Male,Kentucky,Clothing,Blouse,L,Gray,Winter,53,3.1,False,Yes,True,Express,Yes,True,Venmo,14,Developing,Fortnightly,14,26.07,1381.71,1,Steady mid-tier
2,19,18-24,Male,Maine,Clothing,Sweater,L,Maroon,Winter,64,3.1,False,Yes,True,Express,Yes,True,Cash,2,New,Fortnightly,14,26.07,1668.48,0,High-value regulars
3,50,45-54,Male,Massachusetts,Clothing,Jeans,S,Maroon,Spring,73,3.1,False,Yes,True,Free Shipping,Yes,True,Credit Card,23,Developing,Weekly,7,52.14,3806.22,0,High-value regulars
4,21,18-24,Male,Rhode Island,Footwear,Sandals,M,Maroon,Spring,90,3.5,False,Yes,True,Next Day Air,Yes,True,PayPal,49,Loyal,Weekly,7,52.14,4692.6,0,High-value regulars
5,45,45-54,Male,Oregon,Clothing,Blouse,M,Turquoise,Spring,49,2.7,False,Yes,True,Free Shipping,Yes,True,PayPal,31,Established,Annually,365,1.0,49.0,1,Steady mid-tier
6,46,45-54,Male,Wyoming,Footwear,Sneakers,M,White,Summer,20,2.9,False,Yes,True,Standard,Yes,True,Venmo,14,Developing,Weekly,7,52.14,1042.8,0,High-value regulars
7,63,55-64,Male,Montana,Clothing,Shirt,M,Gray,Fall,85,3.2,False,Yes,True,Free Shipping,Yes,True,Cash,49,Loyal,Quarterly,90,4.06,345.1,1,Steady mid-tier
8,27,25-34,Male,Louisiana,Clothing,Shorts,L,Charcoal,Winter,34,3.2,False,Yes,True,Free Shipping,Yes,True,Credit Card,19,Developing,Weekly,7,52.14,1772.76,0,High-value regulars
9,26,25-34,Male,West Virginia,Outerwear,Coat,L,Silver,Summer,97,2.6,False,Yes,True,Express,Yes,True,Venmo,8,New,Annually,365,1.0,97.0,1,Steady mid-tier
10,57,55-64,Male,Missouri,Accessories,Handbag,M,Pink,Spring,31,4.8,False,Yes,True,2-Day Shipping,Yes,True,Cash,4,New,Quarterly,90,4.06,125.86,1,Steady mid-tier
11,53,45-54,Male,Arkansas,Footwear,Shoes,L,Purple,Fall,34,4.1,False,Yes,True,Store Pickup,Yes,True,Bank Transfer,26,Established,Bi-Weekly,14,26.07,886.38,1,Steady mid-tier
12,30,25-34,Male,Hawaii,Clothing,Shorts,S,Olive,Winter,68,4.9,False,Yes,True,Store Pickup,Yes,True,Bank Transfer,10,New,Fortnightly,14,26.07,1772.76,0,High-value regulars
13,61,55-64,Male,Delaware,Outerwear,Coat,M,Gold,Winter,72,4.5,False,Yes,True,Express,Yes,True,Venmo,37,Established,Fortnightly,14,26.07,1877.04,0,High-value regulars
14,65,65+,Male,New Hampshire,Clothing,Dress,M,Violet,Spring,51,4.7,False,Yes,True,Express,Yes,True,PayPal,31,Established,Weekly,7,52.14,2659.14,0,High-value regulars
15,64,55-64,Male,New York,Outerwear,Coat,L,Teal,Winter,53,4.7,False,Yes,True,Free Shipping,Yes,True,Debit Card,34,Established,Weekly,7,52.14,2763.42,0,High-value regulars
16,64,55-64,Male,Rhode Island,Clothing,Skirt,M,Teal,Winter,81,2.8,False,Yes,True,Store Pickup,Yes,True,PayPal,8,New,Monthly,30,12.17,985.77,1,Steady mid-tier
17,25,25-34,Male,Alabama,Accessories,Sunglasses,S,Gray,Spring,36,4.1,False,Yes,True,Next Day Air,Yes,True,Debit Card,44,Loyal,Bi-Weekly,14,26.07,938.52,1,Steady mid-tier
18,53,45-54,Male,Mississippi,Clothing,Dress,XL,Lavender,Winter,38,4.7,False,Yes,True,2-Day Shipping,Yes,True,Venmo,36,Established,Quarterly,90,4.06,154.28,1,Steady mid-tier
19,52,45-54,Male,Montana,Clothing,Sweater,S,Black,Summer,48,4.6,False,Yes,True,Free Shipping,Yes,True,Cash,17,Developing,Weekly,7,52.14,2502.72,0,High-value regulars
20,66,65+,Male,Rhode Island,Clothing,Pants,M,Green,Summer,90,3.3,False,Yes,True,Standard,Yes,True,Debit Card,46,Loyal,Bi-Weekly,14,26.07,2346.3,0,High-value regulars
21,21,18-24,Male,Louisiana,Clothing,Pants,M,Black,Winter,51,2.8,False,Yes,True,Express,Yes,True,Cash,50,Loyal,Every 3 Months,90,4.06,207.06,1,Steady mid-tier
22,31,25-34,Male,North Carolina,Clothing,Pants,M,Charcoal,Winter,62,4.1,False,Yes,True,Store Pickup,Yes,True,Debit Card,22,Developing,Quarterly,90,4.06,251.72,1,Steady mid-tier
23,56,55-64,Male,California,Clothing,Pants,M,Peach,Summer,37,3.2,False,Yes,True,Store Pickup,Yes,True,Debit Card,32,Established,Annually,365,1.0,37.0,1,Steady mid-tier
24,31,25-34,Male,Oklahoma,Clothing,Pants,XL,White,Winter,88,4.4,False,Yes,True,Express,Yes,True,Credit Card,40,Established,Weekly,7,52.14,4588.32,0,High-value regulars
25,18,18-24,Male,Florida,Outerwear,Jacket,M,Green,Fall,22,2.9,False,Yes,True,Store Pickup,Yes,True,Debit Card,16,Developing,Weekly,7,52.14,1147.08,0,High-value regulars
26,18,18-24,Male,Texas,Clothing,Hoodie,M,Silver,Summer,25,3.6,False,Yes,True,Express,Yes,True,PayPal,14,Developing,Annually,365,1.0,25.0,1,Steady mid-tier
27,38,35-44,Male,Nevada,Accessories,Jewelry,M,Red,Spring,20,3.6,False,Yes,True,Next Day Air,Yes,True,Credit Card,13,Developing,Annually,365,1.0,20.0,1,Steady mid-tier
28,56,55-64,Male,Kentucky,Clothing,Shorts,L,Cyan,Summer,56,5.0,False,Yes,True,Next Day Air,Yes,True,Bank Transfer,7,New,Every 3 Months,90,4.06,227.36,1,Steady mid-tier
29,54,45-54,Male,North Carolina,Accessories,Handbag,M,Gray,Fall,94,4.4,False,Yes,True,Free Shipping,Yes,True,PayPal,41,Loyal,Every 3 Months,90,4.06,381.64,1,Steady mid-tier
