customer_id,age,age_band,gender,loyalty_tier,segment,is_subscriber,previous_purchases
1,55,55-64,Male,Developing,Steady mid-tier,True,14
2,19,18-24,Male,New,High-value regulars,True,2
3,50,45-54,Male,Developing,High-value regulars,True,23
4,21,18-24,Male,Loyal,High-value regulars,True,49
5,45,45-54,Male,Established,Steady mid-tier,True,31
6,46,45-54,Male,Developing,High-value regulars,True,14
7,63,55-64,Male,Loyal,Steady mid-tier,True,49
8,27,25-34,Male,Developing,High-value regulars,True,19
9,26,25-34,Male,New,Steady mid-tier,True,8
10,57,55-64,Male,New,Steady mid-tier,True,4
11,53,45-54,Male,Established,Steady mid-tier,True,26
12,30,25-34,Male,New,High-value regulars,True,10
13,61,55-64,Male,Established,High-value regulars,True,37
14,65,65+,Male,Established,High-value regulars,True,31
15,64,55-64,Male,Established,High-value regulars,True,34
16,64,55-64,Male,New,Steady mid-tier,True,8
17,25,25-34,Male,Loyal,Steady mid-tier,True,44
18,53,45-54,Male,Established,Steady mid-tier,True,36
19,52,45-54,Male,Developing,High-value regulars,True,17
20,66,65+,Male,Loyal,High-value regulars,True,46
21,21,18-24,Male,Loyal,Steady mid-tier,True,50
22,31,25-34,Male,Developing,Steady mid-tier,True,22
23,56,55-64,Male,Established,Steady mid-tier,True,32
24,31,25-34,Male,Established,High-value regulars,True,40
25,18,18-24,Male,Developing,High-value regulars,True,16
26,18,18-24,Male,Developing,Steady mid-tier,True,14
27,38,35-44,Male,Developing,Steady mid-tier,True,13
28,56,55-64,Male,New,Steady mid-tier,True,7
29,54,45-54,Male,Loyal,Steady mid-tier,True,41
30,31,25-34,Male,Developing,High-value regulars,True,14
31,57,55-64,Male,Developing,Steady mid-tier,True,16
32,33,25-34,Male,Loyal,Steady mid-tier,True,45
33,36,35-44,Male,Established,Steady mid-tier,True,37
34,54,45-54,Male,Loyal,Steady mid-tier,True,45
35,36,35-44,Male,Established,Steady mid-tier,True,38
36,54,45-54,Male,Loyal,Steady mid-tier,True,48
37,35,35-44,Male,Loyal,High-value regulars,True,44
38,35,35-44,Male,New,High-value regulars,True,10
39,29,25-34,Male,Loyal,Steady mid-tier,True,44
40,70,65+,Male,Developing,Steady mid-tier,True,18
41,69,65+,Male,Established,Steady mid-tier,True,31
42,67,65+,Male,Established,Steady mid-tier,True,40
43,20,18-24,Male,Developing,Steady mid-tier,True,15
44,25,25-34,Male,Developing,High-value regulars,True,19
45,39,35-44,Male,Loyal,High-value regulars,True,45
46,50,45-54,Male,Developing,Steady mid-tier,True,25
47,57,55-64,Male,Loyal,Steady mid-tier,True,45
48,55,55-64,Male,Established,High-value regulars,True,36
49,42,35-44,Male,Established,Steady mid-tier,True,38
50,68,65+,Male,Established,Steady mid-tier,True,34
51,49,45-54,Male,Established,Steady mid-tier,True,39
52,59,55-64,Male,New,Steady mid-tier,True,7
53,42,35-44,Male,Established,High-value regulars,True,26
54,29,25-34,Male,Established,High-value regulars,True,35
55,47,45-54,Male,Established,High-value regulars,True,35
56,40,35-44,Male,Loyal,Steady mid-tier,True,49
57,41,35-44,Male,Loyal,High-value regulars,True,46
58,21,18-24,Male,Developing,High-value regulars,True,17
59,69,65+,Male,Established,Steady mid-tier,True,29
60,63,55-64,Male,New,High-value regulars,True,4
61,50,45-54,Male,Developing,High-value regulars,True,17
62,55,55-64,Male,Developing,Steady mid-tier,True,21
63,30,25-34,Male,Established,Steady mid-tier,True,31
64,33,25-34,Male,Loyal,High-value regulars,True,43
65,65,65+,Male,Developing,High-value regulars,True,18
66,65,65+,Male,Loyal,Steady mid-tier,True,44
67,31,25-34,Male,New,Steady mid-tier,True,3
68,45,45-54,Male,Loyal,Steady mid-tier,True,49
69,57,55-64,Male,Developing,Steady mid-tier,True,21
70,48,45-54,Male,New,High-value regulars,True,5
71,22,18-24,Male,Established,Steady mid-tier,True,32
72,36,35-44,Male,Established,Steady mid-tier,True,34
73,18,18-24,Male,Developing,Steady mid-tier,True,21
74,48,45-54,Male,Loyal,High-value regulars,True,43
75,49,45-54,Male,New,Steady mid-tier,True,3
76,64,55-64,Male,Developing,Steady mid-tier,True,21
77,50,45-54,Male,Established,Steady mid-tier,True,32
78,22,18-24,Male,Established,Steady mid-tier,True,36
79,50,45-54,Male,Loyal,High-value regulars,True,50
80,38,35-44,Male,Loyal,Steady mid-tier,True,43
81,19,18-24,Male,Developing,Steady mid-tier,True,24
82,67,65+,Male,Established,Steady mid-tier,True,36
83,19,18-24,Male,Developing,Steady mid-tier,True,21
84,36,35-44,Male,Established,High-value regulars,True,34
85,52,45-54,Male,Loyal,Steady mid-tier,True,42
86,53,45-54,Male,New,High-value regulars,True,2
87,24,18-24,Male,Loyal,Steady mid-tier,True,47
88,52,45-54,Male,Loyal,Steady mid-tier,True,44
89,33,25-34,Male,Established,Steady mid-tier,True,35
90,47,45-54,Male,Developing,Steady mid-tier,True,15
91,25,25-34,Male,Established,Steady mid-tier,True,29
92,44,35-44,Male,Developing,Steady mid-tier,True,18
93,61,55-64,Male,Developing,Steady mid-tier,True,13
94,37,35-44,Male,Loyal,High-value regulars,True,46
95,58,55-64,Male,Established,High-value regulars,True,28
96,37,35-44,Male,Loyal,Steady mid-tier,True,48
97,32,25-34,Male,Loyal,Steady mid-tier,True,43
98,21,18-24,Male,Established,Steady mid-tier,True,37
99,20,18-24,Male,Developing,Steady mid-tier,True,20
100,26,25-34,Male,Established,Steady mid-tier,True,33
101,62,55-64,Male,Established,High-value regulars,True,31
102,27,25-34,Male,Loyal,High-value regulars,True,50
103,51,45-54,Male,Established,Steady mid-tier,True,35
104,54,45-54,Male,Developing,High-value regulars,True,22
105,55,55-64,Male,New,Steady mid-tier,True,1
106,69,65+,Male,New,Steady mid-tier,True,4
107,64,55-64,Male,Established,Steady mid-tier,True,31
108,28,25-34,Male,Loyal,High-value regulars,True,46
109,70,65+,Male,Established,High-value regulars,True,32
110,58,55-64,Male,Loyal,High-value regulars,True,43
111,56,55-64,Male,Established,Steady mid-tier,True,26
112,26,25-34,Male,New,Steady mid-tier,True,9
113,37,35-44,Male,Established,High-value regulars,True,28
114,44,35-44,Male,Developing,Steady mid-tier,True,20
115,70,65+,Male,New,High-value regulars,True,9
116,53,45-54,Male,Loyal,Steady mid-tier,True,48
117,55,55-64,Male,Developing,Steady mid-tier,True,12
118,50,45-54,Male,Established,Steady mid-tier,True,29
119,50,45-54,Male,Established,Steady mid-tier,True,27
120,38,35-44,Male,Loyal,Steady mid-tier,True,44
121,64,55-64,Male,Established,Steady mid-tier,True,32
122,19,18-24,Male,Developing,High-value regulars,True,11
123,40,35-44,Male,Loyal,Steady mid-tier,True,44
124,57,55-64,Male,Loyal,High-value regulars,True,46
125,44,35-44,Male,Loyal,Steady mid-tier,True,50
126,49,45-54,Male,Loyal,Steady mid-tier,True,45
127,43,35-44,Male,Loyal,Steady mid-tier,True,48
128,24,18-24,Male,Established,High-value regulars,True,26
129,20,18-24,Male,Developing,Steady mid-tier,True,21
130,24,18-24,Male,Loyal,High-value regulars,True,49
