item_key,item_purchased,category
1,Backpack,Accessories
2,Belt,Accessories
3,Gloves,Accessories
4,Handbag,Accessories
5,Hat,Accessories
6,Jewelry,Accessories
7,Scarf,Accessories
8,Sunglasses,Accessories
9,Blouse,Clothing
10,Dress,Clothing
11,Hoodie,Clothing
12,Jeans,Clothing
13,Pants,Clothing
14,Shirt,Clothing
15,Shorts,Clothing
16,Skirt,Clothing
17,Socks,Clothing
18,Sweater,Clothing
19,T-shirt,Clothing
20,Boots,Footwear
21,Sandals,Footwear
22,Shoes,Footwear
23,Sneakers,Footwear
24,Coat,Outerwear
25,Jacket,Outerwear
