purchase_key,customer_id,item_key,location_key,season,size,color,purchase_amount,review_rating,review_rating_imputed,received_discount,shipping_type,payment_method,purchase_frequency_days,purchases_per_year,est_annual_value
1,1,9,17,Winter,L,Gray,53,3.1,False,True,Express,Venmo,14,26.07,1381.71
2,2,18,19,Winter,L,Maroon,64,3.1,False,True,Express,Cash,14,26.07,1668.48
3,3,12,21,Spring,S,Maroon,73,3.1,False,True,Free Shipping,Credit Card,7,52.14,3806.22
4,4,21,39,Spring,M,Maroon,90,3.5,False,True,Next Day Air,PayPal,7,52.14,4692.6
5,5,9,37,Spring,M,Turquoise,49,2.7,False,True,Free Shipping,PayPal,365,1.0,49.0
6,6,23,50,Summer,M,White,20,2.9,False,True,Standard,Venmo,7,52.14,1042.8
7,7,14,26,Fall,M,Gray,85,3.2,False,True,Free Shipping,Cash,90,4.06,345.1
8,8,15,18,Winter,L,Charcoal,34,3.2,False,True,Free Shipping,Credit Card,7,52.14,1772.76
9,9,24,48,Summer,L,Silver,97,2.6,False,True,Express,Venmo,365,1.0,97.0
10,10,4,25,Spring,M,Pink,31,4.8,False,True,2-Day Shipping,Cash,90,4.06,125.86
11,11,22,4,Fall,L,Purple,34,4.1,False,True,Store Pickup,Bank Transfer,14,26.07,886.38
12,12,15,11,Winter,S,Olive,68,4.9,False,True,Store Pickup,Bank Transfer,14,26.07,1772.76
13,13,24,8,Winter,M,Gold,72,4.5,False,True,Express,Venmo,14,26.07,1877.04
14,14,10,29,Spring,M,Violet,51,4.7,False,True,Express,PayPal,7,52.14,2659.14
15,15,24,32,Winter,L,Teal,53,4.7,False,True,Free Shipping,Debit Card,7,52.14,2763.42
16,16,16,39,Winter,M,Teal,81,2.8,False,True,Store Pickup,PayPal,30,12.17,985.77
17,17,8,1,Spring,S,Gray,36,4.1,False,True,Next Day Air,Debit Card,14,26.07,938.52
18,18,10,24,Winter,XL,Lavender,38,4.7,False,True,2-Day Shipping,Venmo,90,4.06,154.28
19,19,18,26,Summer,S,Black,48,4.6,False,True,Free Shipping,Cash,7,52.14,2502.72
20,20,13,39,Summer,M,Green,90,3.3,False,True,Standard,Debit Card,14,26.07,2346.3
21,21,13,18,Winter,M,Black,51,2.8,False,True,Express,Cash,90,4.06,207.06
22,22,13,33,Winter,M,Charcoal,62,4.1,False,True,Store Pickup,Debit Card,90,4.06,251.72
23,23,13,5,Summer,M,Peach,37,3.2,False,True,Store Pickup,Debit Card,365,1.0,37.0
24,24,13,36,Winter,XL,White,88,4.4,False,True,Express,Credit Card,7,52.14,4588.32
25,25,25,9,Fall,M,Green,22,2.9,False,True,Store Pickup,Debit Card,7,52.14,1147.08
26,26,11,43,Summer,M,Silver,25,3.6,False,True,Express,PayPal,365,1.0,25.0
27,27,6,28,Spring,M,Red,20,3.6,False,True,Next Day Air,Credit Card,365,1.0,20.0
28,28,15,17,Summer,L,Cyan,56,5.0,False,True,Next Day Air,Bank Transfer,90,4.06,227.36
29,29,4,33,Fall,M,Gray,94,4.4,False,True,Free Shipping,PayPal,90,4.06,381.64
30,30,10,50,Fall,S,Black,48,4.1,False,True,Store Pickup,Credit Card,7,52.14,2502.72
31,31,6,33,Winter,L,Black,31,4.7,False,True,Standard,Credit Card,30,12.17,377.27
32,32,10,48,Winter,L,Brown,79,4.7,False,True,Store Pickup,Venmo,30,12.17,961.43
33,33,25,16,Summer,M,Silver,67,4.9,False,True,Free Shipping,Venmo,365,1.0,67.0
34,34,13,6,Summer,L,Green,38,3.3,False,True,Store Pickup,Cash,90,4.06,154.28
35,35,19,34,Spring,L,Violet,91,4.6,False,True,2-Day Shipping,PayPal,90,4.06,369.46
36,36,9,21,Summer,M,Cyan,33,4.0,False,True,2-Day Shipping,Credit Card,14,26.07,860.31
37,37,19,13,Winter,M,Maroon,69,4.6,False,True,Free Shipping,PayPal,14,26.07,1798.83
